Order ID,Order Date,Customer Name,Segment,Product Name,Category,Sub-Category,Region,Country,State,City,Sales,Quantity,Profit
ORD-0051,2023-06-07,Alice Brown,Consumer,Notebook,Office Supplies,Paper,Europe,Germany,Berlin,Berlin,1353.62,4,-161.13
ORD-0052,2023-02-18,Carlos Diaz,Corporate,Office Chair,Furniture,Chairs,US,United States,California,San Francisco,416.56,3,-2.46
ORD-0053,2023-03-28,Anita Sharma,Home Office,Office Chair,Furniture,Chairs,Asia,India,Karnataka,Bangalore,2013.56,6,1005.94
ORD-0054,2023-03-01,Anita Sharma,Home Office,Pen Set,Office Supplies,Art,US,United States,California,San Francisco,1038.45,4,464.08
ORD-0055,2023-08-14,Anita Sharma,Home Office,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,1818.39,1,-115.6
ORD-0056,2023-07-19,Ravi Kumar,Consumer,Pen Set,Office Supplies,Art,US,United States,California,San Francisco,4235.24,8,141.14
ORD-0057,2023-02-23,Ravi Kumar,Home Office,Office Chair,Furniture,Chairs,US,United States,California,San Francisco,2055.56,4,1079.35
ORD-0058,2023-07-25,Anita Sharma,Home Office,Office Chair,Furniture,Chairs,Asia,India,Karnataka,Bangalore,4042.49,4,1286.01
ORD-0059,2023-03-05,Alice Brown,Corporate,Laptop,Technology,Computers,Europe,Germany,Berlin,Berlin,2187.93,8,276.1
ORD-0060,2023-12-04,Anita Sharma,Consumer,Office Chair,Furniture,Chairs,Asia,India,Karnataka,Bangalore,2365.03,5,4.22
ORD-0061,2023-09-26,Anita Sharma,Consumer,Printer,Technology,Machines,Asia,India,Karnataka,Bangalore,2974.04,8,836.25
ORD-0062,2023-06-16,John Smith,Consumer,Pen Set,Office Supplies,Art,Asia,India,Karnataka,Bangalore,2162.18,5,-123.03
ORD-0063,2023-11-22,John Smith,Corporate,Laptop,Technology,Computers,Asia,India,Karnataka,Bangalore,2614.92,3,1065.03
ORD-0064,2023-07-08,John Smith,Consumer,Pen Set,Office Supplies,Art,Europe,Germany,Berlin,Berlin,2319.77,4,1017.09
ORD-0065,2023-11-28,Ravi Kumar,Corporate,Laptop,Technology,Computers,Europe,Germany,Berlin,Berlin,2322.92,4,274.52
ORD-0066,2023-11-23,Alice Brown,Home Office,Printer,Technology,Machines,US,United States,California,San Francisco,3911.35,1,1377.97
ORD-0067,2023-08-09,Anita Sharma,Home Office,Laptop,Technology,Computers,US,United States,California,San Francisco,1118.47,10,284.65
ORD-0068,2023-02-18,Alice Brown,Consumer,Printer,Technology,Machines,Asia,India,Karnataka,Bangalore,205.19,3,-28.29
ORD-0069,2023-04-04,John Smith,Corporate,Laptop,Technology,Computers,Europe,Germany,Berlin,Berlin,3473.08,3,801.16
ORD-0070,2023-08-13,John Smith,Corporate,Notebook,Office Supplies,Paper,Europe,Germany,Berlin,Berlin,3714.77,8,750.57
ORD-0071,2023-10-09,John Smith,Corporate,Laptop,Technology,Computers,Asia,India,Karnataka,Bangalore,1440.83,3,-24.46
ORD-0072,2023-05-07,Carlos Diaz,Consumer,Pen Set,Office Supplies,Art,US,United States,California,San Francisco,1030.91,1,752.31
ORD-0073,2023-11-30,Anita Sharma,Corporate,Printer,Technology,Machines,Asia,India,Karnataka,Bangalore,915.93,1,263.0
ORD-0074,2023-01-13,John Smith,Home Office,Laptop,Technology,Computers,US,United States,California,San Francisco,4645.97,10,1320.84
ORD-0075,2023-09-30,Anita Sharma,Consumer,Laptop,Technology,Computers,US,United States,California,San Francisco,2271.02,8,1038.3
ORD-0076,2023-12-10,Ravi Kumar,Consumer,Printer,Technology,Machines,Asia,India,Karnataka,Bangalore,2077.32,1,1475.73
ORD-0077,2023-08-03,John Smith,Home Office,Notebook,Office Supplies,Paper,Europe,Germany,Berlin,Berlin,1821.82,9,1401.45
ORD-0078,2023-07-30,John Smith,Consumer,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,4278.72,1,531.94
ORD-0079,2023-09-15,Carlos Diaz,Consumer,Laptop,Technology,Computers,Asia,India,Karnataka,Bangalore,1303.81,10,22.79
ORD-0080,2023-10-18,Alice Brown,Consumer,Printer,Technology,Machines,Europe,Germany,Berlin,Berlin,4745.1,4,191.55
ORD-0081,2023-02-05,John Smith,Home Office,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,1231.07,7,1469.69
ORD-0082,2023-02-26,John Smith,Home Office,Pen Set,Office Supplies,Art,Asia,India,Karnataka,Bangalore,4252.65,6,883.18
ORD-0083,2023-02-24,Ravi Kumar,Corporate,Printer,Technology,Machines,Asia,India,Karnataka,Bangalore,4657.65,10,1064.14
ORD-0084,2023-02-26,Alice Brown,Consumer,Pen Set,Office Supplies,Art,Europe,Germany,Berlin,Berlin,3232.78,10,901.14
ORD-0085,2023-01-28,John Smith,Corporate,Printer,Technology,Machines,Asia,India,Karnataka,Bangalore,847.78,8,220.95
ORD-0086,2023-07-23,Anita Sharma,Corporate,Notebook,Office Supplies,Paper,Asia,India,Karnataka,Bangalore,663.52,6,267.09
ORD-0087,2023-10-08,Ravi Kumar,Consumer,Laptop,Technology,Computers,Asia,India,Karnataka,Bangalore,2618.81,2,945.03
ORD-0088,2023-12-08,Alice Brown,Consumer,Notebook,Office Supplies,Paper,Asia,India,Karnataka,Bangalore,4255.75,3,130.38
ORD-0089,2023-11-19,John Smith,Corporate,Office Chair,Furniture,Chairs,Europe,Germany,Berlin,Berlin,3053.48,9,376.06
ORD-0090,2023-02-07,Alice Brown,Consumer,Office Chair,Furniture,Chairs,US,United States,California,San Francisco,584.19,2,87.48
ORD-0091,2023-03-14,Alice Brown,Consumer,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,2211.68,3,295.86
ORD-0092,2023-06-19,Ravi Kumar,Corporate,Pen Set,Office Supplies,Art,Europe,Germany,Berlin,Berlin,1461.68,6,661.48
ORD-0093,2023-04-05,Alice Brown,Corporate,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,1650.8,10,103.63
ORD-0094,2023-02-24,Carlos Diaz,Home Office,Printer,Technology,Machines,Asia,India,Karnataka,Bangalore,439.53,8,1045.27
ORD-0095,2023-11-14,Ravi Kumar,Consumer,Laptop,Technology,Computers,Asia,India,Karnataka,Bangalore,396.8,3,556.61
ORD-0096,2023-04-02,Anita Sharma,Consumer,Office Chair,Furniture,Chairs,Asia,India,Karnataka,Bangalore,1447.82,2,1046.52
ORD-0097,2023-05-01,Ravi Kumar,Corporate,Printer,Technology,Machines,Asia,India,Karnataka,Bangalore,3575.24,6,1445.18
ORD-0098,2023-03-05,Alice Brown,Home Office,Notebook,Office Supplies,Paper,US,United States,California,San Francisco,202.12,6,1103.83
ORD-0099,2023-08-13,John Smith,Consumer,Notebook,Office Supplies,Paper,Europe,Germany,Berlin,Berlin,1516.76,9,1070.54
ORD-0100,2023-01-13,Carlos Diaz,Corporate,Pen Set,Office Supplies,Art,US,United States,California,San Francisco,3795.98,1,469.22
